x,真实sin(x),MLP预测值
-3.000000,-0.141120,-0.293453
-2.979933,-0.160956,-0.303583
-2.959866,-0.180728,-0.313788
-2.939799,-0.200427,-0.324067
-2.919732,-0.220045,-0.334419
-2.899666,-0.239574,-0.344841
-2.879599,-0.259007,-0.355332
-2.859532,-0.278336,-0.365890
-2.839465,-0.297552,-0.376513
-2.819398,-0.316649,-0.387200
-2.799331,-0.335618,-0.397947
-2.779264,-0.354452,-0.408752
-2.759197,-0.373144,-0.419614
-2.739130,-0.391685,-0.430528
-2.719064,-0.410068,-0.441494
-2.698997,-0.428287,-0.452506
-2.678930,-0.446333,-0.463564
-2.658863,-0.464199,-0.474662
-2.638796,-0.481878,-0.485799
-2.618729,-0.499363,-0.496970
-2.598662,-0.516647,-0.508171
-2.578595,-0.533723,-0.519400
-2.558528,-0.550584,-0.530651
-2.538462,-0.567224,-0.541921
-2.518395,-0.583635,-0.553205
-2.498328,-0.599811,-0.564499
-2.478261,-0.615746,-0.575798
-2.458194,-0.631432,-0.587097
-2.438127,-0.646864,-0.598392
-2.418060,-0.662036,-0.609677
-2.397993,-0.676942,-0.620947
-2.377926,-0.691574,-0.632196
-2.357860,-0.705928,-0.643418
-2.337793,-0.719998,-0.654608
-2.317726,-0.733778,-0.665760
-2.297659,-0.747263,-0.676867
-2.277592,-0.760447,-0.687924
-2.257525,-0.773324,-0.698923
-2.237458,-0.785890,-0.709858
-2.217391,-0.798140,-0.720721
-2.197324,-0.810068,-0.731507
-2.177258,-0.821670,-0.742208
-2.157191,-0.832941,-0.752815
-2.137124,-0.843877,-0.763323
-2.117057,-0.854473,-0.773723
-2.096990,-0.864725,-0.784008
-2.076923,-0.874629,-0.794169
-2.056856,-0.884180,-0.804198
-2.036789,-0.893376,-0.814088
-2.016722,-0.902212,-0.823830
-1.996656,-0.910684,-0.833415
-1.976589,-0.918790,-0.842834
-1.956522,-0.926526,-0.852080
-1.936455,-0.933888,-0.861143
-1.916388,-0.940875,-0.870014
-1.896321,-0.947483,-0.878685
-1.876254,-0.953709,-0.887145
-1.856187,-0.959552,-0.895387
-1.836120,-0.965008,-0.903400
-1.816054,-0.970075,-0.911176
-1.795987,-0.974752,-0.918704
-1.775920,-0.979036,-0.925976
-1.755853,-0.982926,-0.932982
-1.735786,-0.986420,-0.939712
-1.715719,-0.989517,-0.946156
-1.695652,-0.992216,-0.952306
-1.675585,-0.994515,-0.958152
-1.655518,-0.996413,-0.963684
-1.635452,-0.997911,-0.968892
-1.615385,-0.999006,-0.973767
-1.595318,-0.999699,-0.978299
-1.575251,-0.999990,-0.982479
-1.555184,-0.999878,-0.986298
-1.535117,-0.999364,-0.989746
-1.515050,-0.998447,-0.992813
-1.494983,-0.997128,-0.995492
-1.474916,-0.995407,-0.997772
-1.454849,-0.993286,-0.999645
-1.434783,-0.990764,-1.001103
-1.414716,-0.987844,-1.002136
-1.394649,-0.984526,-1.002736
-1.374582,-0.980812,-1.002895
-1.354515,-0.976702,-1.002605
-1.334448,-0.972200,-1.001858
-1.314381,-0.967305,-1.000647
-1.294314,-0.962022,-0.998964
-1.274247,-0.956351,-0.996803
-1.254181,-0.950295,-0.994156
-1.234114,-0.943856,-0.991018
-1.214047,-0.937037,-0.987381
-1.193980,-0.929841,-0.983242
-1.173913,-0.922270,-0.978593
-1.153846,-0.914328,-0.973431
-1.133779,-0.906018,-0.967751
-1.113712,-0.897343,-0.961548
-1.093645,-0.888307,-0.954820
-1.073579,-0.878913,-0.947563
-1.053512,-0.869165,-0.939773
-1.033445,-0.859067,-0.931450
-1.013378,-0.848624,-0.922592
-0.993311,-0.837838,-0.913197
-0.973244,-0.826715,-0.903265
-0.953177,-0.815260,-0.892796
-0.933110,-0.803476,-0.881791
-0.913043,-0.791368,-0.870251
-0.892977,-0.778942,-0.858178
-0.872910,-0.766202,-0.845574
-0.852843,-0.753154,-0.832443
-0.832776,-0.739802,-0.818789
-0.812709,-0.726152,-0.804617
-0.792642,-0.712210,-0.789931
-0.772575,-0.697982,-0.774737
-0.752508,-0.683472,-0.759043
-0.732441,-0.668687,-0.742856
-0.712375,-0.653633,-0.726183
-0.692308,-0.638315,-0.709035
-0.672241,-0.622741,-0.691419
-0.652174,-0.606916,-0.673347
-0.632107,-0.590846,-0.654830
-0.612040,-0.574538,-0.635879
-0.591973,-0.558000,-0.616506
-0.571906,-0.541236,-0.596725
-0.551839,-0.524255,-0.576549
-0.531773,-0.507062,-0.555993
-0.511706,-0.489665,-0.535072
-0.491639,-0.472071,-0.513801
-0.471572,-0.454287,-0.492196
-0.451505,-0.436320,-0.470275
-0.431438,-0.418178,-0.448054
-0.411371,-0.399867,-0.425551
-0.391304,-0.381394,-0.402784
-0.371237,-0.362769,-0.379772
-0.351171,-0.343997,-0.356534
-0.331104,-0.325087,-0.333090
-0.311037,-0.306046,-0.309459
-0.290970,-0.286881,-0.285660
-0.270903,-0.267602,-0.261715
-0.250836,-0.248214,-0.237643
-0.230769,-0.228726,-0.213465
-0.210702,-0.209147,-0.189202
-0.190635,-0.189483,-0.164874
-0.170569,-0.169743,-0.140502
-0.150502,-0.149934,-0.116107
-0.130435,-0.130065,-0.091709
-0.110368,-0.110144,-0.067329
-0.090301,-0.090178,-0.042987
-0.070234,-0.070176,-0.018702
-0.050167,-0.050146,0.005505
-0.030100,-0.030096,0.029614
-0.010033,-0.010033,0.053607
0.010033,0.010033,0.077465
0.030100,0.030096,0.101170
0.050167,0.050146,0.124703
0.070234,0.070176,0.148046
0.090301,0.090178,0.171184
0.110368,0.110144,0.194100
0.130435,0.130065,0.216777
0.150502,0.149934,0.239200
0.170569,0.169743,0.261355
0.190635,0.189483,0.283227
0.210702,0.209147,0.304803
0.230769,0.228726,0.326071
0.250836,0.248214,0.347017
0.270903,0.267602,0.367630
0.290970,0.286881,0.387899
0.311037,0.306046,0.407815
0.331104,0.325087,0.427367
0.351171,0.343997,0.446546
0.371237,0.362769,0.465345
0.391304,0.381394,0.483755
0.411371,0.399867,0.501770
0.431438,0.418178,0.519383
0.451505,0.436320,0.536589
0.471572,0.454287,0.553382
0.491639,0.472071,0.569758
0.511706,0.489665,0.585714
0.531773,0.507062,0.601245
0.551839,0.524255,0.616349
0.571906,0.541236,0.631023
0.591973,0.558000,0.645267
0.612040,0.574538,0.659079
0.632107,0.590846,0.672458
0.652174,0.606916,0.685405
0.672241,0.622741,0.697918
0.692308,0.638315,0.709999
0.712375,0.653633,0.721650
0.732441,0.668687,0.732870
0.752508,0.683472,0.743664
0.772575,0.697982,0.754031
0.792642,0.712210,0.763976
0.812709,0.726152,0.773501
0.832776,0.739802,0.782610
0.852843,0.753154,0.791304
0.872910,0.766202,0.799590
0.892977,0.778942,0.807469
0.913043,0.791368,0.814948
